"idx","location","qn","case_num","case_array","feedback","qn_move"
"53333","sw01_u04_p11","1","0","incorrect/try again","/%sound_greeting-054-response1-incomp/","-7777"
"53334","sw01_u04_p11","1","1","incorrect/no more chance","/%sound_greeting-029-r1-incompre/","2"
"53335","sw01_u04_p11","1","2","#sentence_1# happy/#sentence_1# good/happy/good","/%sound_greeting-017-r1-happy-good/","2"
"53336","sw01_u04_p11","1","3","#sentence_1# awesome/#sentence_1# nice/awesome/nice","/%sound_greeting-018-r1-awesome-nice/","2"
"53337","sw01_u04_p11","1","4","#sentence_1# great/#sentence_1# wonderful/great/wonderful","/%sound_greeting-019-r1-great-wonderful/","2"
"53338","sw01_u04_p11","1","5","#sentence_1# bad/bad","/%sound_greeting-020-r1-bad/","2"
"53339","sw01_u04_p11","1","6","#sentence_1# sad/sad","/%sound_greeting-021-r1-sad/","2"
"53340","sw01_u04_p11","1","7","#sentence_1# angry/angry","/%sound_greeting-022-r1-angry/","2"
"53341","sw01_u04_p11","1","8","#sentence_1# hungry/hungry","/%sound_greeting-023-r1-hungry/","2"
"53342","sw01_u04_p11","1","9","#sentence_1# sick/sick","/%sound_greeting-024-r1-sick/","2"
"53343","sw01_u04_p11","1","10","#sentence_1# sleepy/sleepy","/%sound_greeting-025-r1-sleepy/","2"
"53344","sw01_u04_p11","1","11","#sentence_1# bored/bored","/%sound_greeting-026-r1-boring/","2"
"53345","sw01_u04_p11","1","12","#sentence_1# #positive_emotion#/#positive_emotion#","/%sound_greeting-027-r1-positive/","2"
"53346","sw01_u04_p11","1","13","#sentence_1# #negative_emotion#/#negative_emotion#","/%sound_greeting-028-r1-negative/","2"
"53347","sw01_u04_p11","2","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53348","sw01_u04_p11","2","1","incorrect/no more chance"," ","3"
"53349","sw01_u04_p11","2","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","3"
"53350","sw01_u04_p11","2","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks"," ","4"
"53351","sw01_u04_p11","3","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53352","sw01_u04_p11","3","1","incorrect/no more chance"," ","5"
"53353","sw01_u04_p11","3","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","5"
"53354","sw01_u04_p11","3","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","6/14"
"53355","sw01_u04_p11","4","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53356","sw01_u04_p11","4","1","incorrect/no more chance"," ","5"
"53357","sw01_u04_p11","4","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","5"
"53358","sw01_u04_p11","4","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","6/14"
"53359","sw01_u04_p11","5","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53360","sw01_u04_p11","5","1","incorrect/no more chance","/%sound_common-071-then-lets-begin/","6/14"
"53361","sw01_u04_p11","5","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","6/14"
"53362","sw01_u04_p11","5","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","5"
"53363","sw01_u04_p11","6","0","incorrect/try again"," ","-7777"
"53364","sw01_u04_p11","6","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","10"
"53365","sw01_u04_p11","6","2","bedroom out/bedroom","/%fb_correctfeedback_1/","7"
"53366","sw01_u04_p11","7","0","incorrect/try again"," ","-7777"
"53367","sw01_u04_p11","7","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","11"
"53368","sw01_u04_p11","7","2","bathtub out/bathtub","/%fb_correctfeedback_1/","8"
"53369","sw01_u04_p11","8","0","incorrect/try again"," ","-7777"
"53370","sw01_u04_p11","8","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","13"
"53371","sw01_u04_p11","8","2","bathroom out/bathroom","/%fb_correctfeedback_1/","9"
"53372","sw01_u04_p11","9","0","incorrect/try again"," ","-7777"
"53373","sw01_u04_p11","9","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","13"
"53374","sw01_u04_p11","9","2","closet out/closet","/%fb_correct_aec_fb1/","22"
"53375","sw01_u04_p11","10","0","incorrect/try again"," ","-7777"
"53376","sw01_u04_p11","10","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","11"
"53377","sw01_u04_p11","10","2","mirror out/mirror","/%fb_correctfeedback_1/","7"
"53378","sw01_u04_p11","11","0","incorrect/try again"," ","-7777"
"53379","sw01_u04_p11","11","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","12"
"53380","sw01_u04_p11","11","2","living room out/living room","/%fb_correctfeedback_1/","8"
"53381","sw01_u04_p11","12","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53382","sw01_u04_p11","12","1","incorrect/no more chance"," ","13"
"53383","sw01_u04_p11","12","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","13"
"53384","sw01_u04_p11","12","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","-7777"
"53385","sw01_u04_p11","13","0","incorrect/try again"," ","-7777"
"53386","sw01_u04_p11","13","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","22"
"53387","sw01_u04_p11","13","2","basement out/basement","/%fb_correct_aec_fb1/","22"
"53388","sw01_u04_p11","14","0","incorrect/try again"," ","-7777"
"53389","sw01_u04_p11","14","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","18"
"53390","sw01_u04_p11","14","2","table out/table","/%fb_correctfeedback_1/","15"
"53391","sw01_u04_p11","15","0","incorrect/try again"," ","-7777"
"53392","sw01_u04_p11","15","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","19"
