idx,word,name
23428,active,positive_emotion
23429,beautiful,positive_emotion
23430,brave,positive_emotion
23431,bright,positive_emotion
23432,cheerful,positive_emotion
23433,comfortable,positive_emotion
23434,confident,positive_emotion
23435,delighted,positive_emotion
23436,energetic,positive_emotion
23437,excited,positive_emotion
23438,fantastic,positive_emotion
23439,fine,positive_emotion
23440,free,positive_emotion
23441,friendly,positive_emotion
23442,interested,positive_emotion
23443,joyful,positive_emotion
23444,kind,positive_emotion
23445,loved,positive_emotion
23446,lucky,positive_emotion
23447,not bad,positive_emotion
23448,perfect,positive_emotion
23449,pleasant,positive_emotion
23450,pleased,positive_emotion
23451,popular,positive_emotion
23452,positive,positive_emotion
23453,strong,positive_emotion
23454,cool,positive_emotion
23455,afraid,negative_emotion
23456,alone,negative_emotion
23457,annoyed,negative_emotion
23458,anxious,negative_emotion
23459,ashamed,negative_emotion
23460,awful,negative_emotion
23461,crazy,negative_emotion
23462,disappointed,negative_emotion
23463,down,negative_emotion
23464,embarrassed,negative_emotion
23465,exhausted,negative_emotion
23466,fearful,negative_emotion
23467,frustrated,negative_emotion
23468,horrible,negative_emotion
23469,lonely,negative_emotion
23470,lost,negative_emotion
23471,mad,negative_emotion
23472,mean,negative_emotion
23473,nervous,negative_emotion
23474,not good,negative_emotion
23475,no good,negative_emotion
23476,not well,negative_emotion
23477,not great,negative_emotion
23478,scared,negative_emotion
23479,shameful,negative_emotion
23480,shocked,negative_emotion
23481,shy,negative_emotion
23482,stupid,negative_emotion
23483,terrible,negative_emotion
23484,terrified,negative_emotion
23485,tired,negative_emotion
23486,unhappy,negative_emotion
23487,upset,negative_emotion
23488,weak,negative_emotion
23489,worried,negative_emotion
23490,I feel very,sentence_1
23491,I was very,sentence_1
23492,I am very,sentence_1
23493,I'm very,sentence_1
23494,I very,sentence_1
23495,it was very,sentence_1
23496,it is very,sentence_1
23497,it's very,sentence_1
23498,they are,sentence_1
23499,they're,sentence_1
23500,today I was very,sentence_1
23501,today I am very,sentence_1
23502,today was very,sentence_1
23503,today I'm very,sentence_1
23504,I feel,sentence_1
23505,I was,sentence_1
23506,I am,sentence_1
23507,I'm,sentence_1
23508,I,sentence_1
23509,it was,sentence_1
23510,it is,sentence_1
23511,it's,sentence_1
23512,today I was,sentence_1
23513,today I am,sentence_1
23514,today was,sentence_1
23515,today I'm,sentence_1
23516,a,number
23517,an,number
23518,the,number
23519,1,number
23520,2,number
23521,3,number
23522,4,number
23523,5,number
23524,6,number
23525,7,number
23526,8,number
23527,9,number
23528,10,number
23619,classmate,unit1_word_1
23620,coach,unit1_word_1
23621,dance partner,unit1_word_1
23622,neighbor,unit1_word_1
23623,teacher,unit1_word_1
23624,teammate,unit1_word_1
23625,11,unit1_word_2
23626,12,unit1_word_2
23627,13,unit1_word_2
23628,14,unit1_word_2
23629,15,unit1_word_2
23630,16,unit1_word_2
23631,17,unit1_word_2
23632,18,unit1_word_2
23633,19,unit1_word_2
23634,Afghanistan,country
23635,Albania,country
23636,Algeria,country
23637,Argentina,country
23638,Australia,country
23639,Austria,country
23640,Bangladesh,country
23641,Belgium,country
23642,Bhutan,country
23643,Brazil,country
23644,Brunei,country
23645,Bulgaria,country
23646,Cambodia,country
23647,Cameroon,country
23648,Canada,country
23649,Chad,country
23650,Chile,country
23651,China,country
23652,Colombia,country
23653,Costa Rica,country
23654,Croatia,country
23655,Cuba,country
23656,Czech Republic,country
23657,Denmark,country
23658,Ecuador,country
23659,Egypt,country
23660,El Salvador,country
23661,Ethiopia,country
23662,Fiji,country
23663,Finland,country
23664,France,country
23665,Germany,country
23666,Ghana,country
23667,Greece,country
23668,Guatemala,country
23669,Haiti,country
23670,Hungary,country
23671,Iceland,country
23672,India,country
23673,Indonesia,country
23674,Iran,country
23675,Iraq,country
23676,Ireland,country
23677,Israel,country
23678,Italy,country
23679,Jamaica,country
23680,Japan,country
23681,Jordan,country
23682,Kazakhstan,country
23683,Kenya,country
23684,Kuwait,country
23685,Kyrgyzstan,country
23686,Laos,country
23687,Latvia,country
23688,Lebanon,country
23689,Liberia,country
23690,Libya,country
23691,Lithuania,country
23692,Luxembourg,country
23693,Macedonia,country
23694,Madagascar,country
23695,Malawi,country
23696,Malaysia,country
23697,Maldives,country
23698,Mexico,country
23699,Micronesia,country
23700,Moldova,country
23701,Monaco,country
23702,Mongolia,country
23703,Montenegro,country
23704,Morocco,country
23705,Myanmar,country
23706,Namibia,country
23707,Nepal,country
23708,Netherlands,country
23709,New Zealand,country
23710,Niger,country
23711,Nigeria,country
23712,North Korea,country
23713,Norway,country
23714,Oman,country
23715,Pakistan,country
